Page,Type,Content,X,Y,Width,Height,Style
"13","Text","友引 ",161.299999999958,109.5,6,3,"六曜"
"13","Text","先勝 ",161.299999999958,77.5,6,3,"六曜"
"13","Text","赤口 ",161.299999999958,45.5,6,3,"六曜"
"13","Text","仏滅 ",161.3,13.5013888888882,6,3,"六曜"
"12","Text","友引 ",122.3,141.5,6.00000000000003,3,"六曜"
"12","Text","先勝 ",122.3,109.5,6.00000000000003,3,"六曜"
"12","Text","赤口 ",122.3,77.5,6.00000000000003,3,"六曜"
"12","Text","大安 ",122.3,45.5,6.00000000000003,3,"六曜"
"12","Text","先負 ",122.3,13.5,6,3,"六曜"
"12","Text","",87.2999999999792,173.499999999968,6.00000000000003,3,""
"12","Text","先勝 ",87.2999999999792,141.5,6.00000000000003,3,"六曜"
"12","Text","赤口 ",87.2999999999792,109.5,6.00000000000003,3,"六曜"
"12","Text","大安 ",87.2999999999791,77.5,6.00000000000001,3,"六曜"
"12","Text","先負 ",87.2999999999793,45.5,6.00000000000001,3,"六曜"
"12","Text","友引 ",87.3,13.5,6,2.99999999999999,"六曜"
"12","Text"," ",52.3002137513047,13.5013888888882,5.99999999999999,3,"六曜"
"12","Text","",58.3,173.789999999936,16,2.11666666666665,""
"12","Text","ひのえ  ね ",58.3,141.789999999968,16,2.1166666666667,"日干支"
"12","Text","つちのと  み ",58.3,109.789999999968,16,2.11666666666666,"日干支"
"12","Text","みずのえ  いぬ ",58.3,77.7899999999681,16,2.11666666666666,"日干支"
"12","Text","きのと  う ",58.5,45.789999999968,16,2.11666666666666,"日干支"
"13","Text","",272.299999999917,141.789999999968,16,2.1166666666667,""
"13","Text","きのと  い ",272.299999999917,109.789999999968,16,2.11666666666666,"日干支"
"13","Text","つちのえ  たつ ",272.299999999917,77.7899999999681,16,2.11666666666666,"日干支"
"13","Text","かのと  とり ",272.299999999917,45.789999999968,16,2.11666666666666,"日干支"
"13","Text","きのえ  とら ",272.300000000167,13.7913888888562,16.0000000000001,2.11666666666666,"日干支"
"13","Text","",237.299999999917,141.789999999968,16,2.1166666666667,""
"13","Text","きのえ  いぬ ",237.299999999917,109.789999999968,16,2.11666666666666,"日干支"
"13","Text","ひのと  う ",237.165,77.7899999999681,15.9999999999999,2.11666666666666,"日干支"
"13","Text","かのえ  さる ",237.299999999917,45.789999999968,16,2.11666666666666,"日干支"
"13","Text","みずのと  うし ",237.300000000083,13.7899999999681,16,2.11666666666667,"日干支"
"13","Text"," ",202.3,141.789999999968,16,2.1166666666667,"日干支"
"13","Text","みずのと  とり ",202.3,109.789999999968,16,2.11666666666666,"日干支"
"13","Text","ひのえ  とら ",202.3,77.7899999999681,16,2.11666666666666,"日干支"
"13","Text","つちのと  ひつじ ",202.3,45.789999999968,16,2.11666666666666,"日干支"
"13","Text","みずのえ  ね ",202.300000000125,13.7899999999681,16,2.11666666666666,"日干支"
"13","Text","つちのと  う ",167.299999999958,141.789999999968,16,2.1166666666667,"日干支"
"13","Text","みずのえ  さる ",167.299999999958,109.789999999968,16,2.11666666666666,"日干支"
"13","Text","きのと  うし ",167.299999999958,77.7899999999681,16,2.11666666666666,"日干支"
"13","Text","つちのえ  うま ",167.299999999958,45.789999999968,16,2.11666666666666,"日干支"
"13","Text","かのと  い ",167.3,13.7913888888562,16,2.11666666666666,"日干支"
"12","Text","つちのえ  とら ",128.3,141.789999999968,16,2.1166666666667,"日干支"
"12","Text","かのと  ひつじ ",128.3,109.789999999968,16,2.11666666666666,"日干支"
"12","Text","きのえ  ね ",128.3,77.7899999999681,16,2.11666666666666,"日干支"
"12","Text","ひのと  み ",128.285393124285,45.7499999999361,16,2.11666666666667,"日干支"
"12","Text","かのえ  いぬ ",128.3,13.7899999999681,16,2.11666666666668,"日干支"
"12","Text","",93.2999999999792,173.789999999936,16,2.11666666666665,""
"12","Text","ひのと  うし ",93.2999999999792,141.789999999968,16,2.1166666666667,"日干支"
"12","Text","かのえ  うま ",93.2999999999792,109.789999999968,16,2.11666666666666,"日干支"
"12","Text","みずのと  い ",93.2999999999791,77.7899999999681,16,2.11666666666666,"日干支"
"12","Text","ひのえ  たつ ",93.2999999999793,45.789999999968,16,2.11666666666666,"日干支"
"12","Text","つちのと  とり ",93.3,13.7899999999681,16,2.11666666666667,"日干支"
"12","Text"," ",58.3,13.7899999999681,16,2.117,"日干支"
"13","Text"," ",196.3,144.5,20,3,"旧暦_日付"
